0,131	6,52773E+12	9,98,E+07							
0,132	6,55288E+12	1,00,E+08							
0,133	6,57779E+12	1,00,E+08							
0,134	6,60247E+12	1,00,E+08							
0,135	6,62692E+12	1,01,E+08							
0,136	6,65114E+12	1,01,E+08							
0,137	6,67514E+12	1,01,E+08							
0,138	6,6989E+12	1,01,E+08							
0,139	6,72245E+12	1,01,E+08							
0,14	6,74577E+12	1,01,E+08							
0,141	6,76888E+12	1,02,E+08							
0,142	6,79177E+12	1,02,E+08							
0,143	6,81445E+12	1,02,E+08							
0,144	6,83691E+12	1,02,E+08							
0,145	6,85916E+12	1,02,E+08							
0,146	6,8812E+12	1,02,E+08							
0,147	6,90304E+12	1,03,E+08							
0,148	6,92467E+12	1,03,E+08							
0,149	6,9461E+12	1,03,E+08							
0,15	6,96733E+12	1,03,E+08							
0,151	6,98836E+12	1,03,E+08							
0,152	7,0092E+12	1,03,E+08							
0,153	7,02984E+12	1,04,E+08							
0,154	7,05028E+12	1,04,E+08							
0,155	7,07054E+12	1,04,E+08							
0,156	7,0906E+12	1,04,E+08							
0,157	7,11047E+12	1,04,E+08							
0,158	7,13016E+12	1,04,E+08							
0,159	7,14967E+12	1,04,E+08							
0,16	7,16899E+12	1,05,E+08							
0,161	7,18813E+12	1,05,E+08							
0,162	7,20709E+12	1,05,E+08							
0,163	7,22588E+12	1,05,E+08							
0,164	7,24449E+12	1,05,E+08							
0,165	7,26292E+12	1,05,E+08							
0,166	7,28118E+12	1,05,E+08							
0,167	7,29927E+12	1,06,E+08							
0,168	7,31719E+12	1,06,E+08							
0,169	7,33495E+12	1,06,E+08							
0,17	7,35253E+12	1,06,E+08							
0,171	7,36995E+12	1,06,E+08							
0,172	7,38721E+12	1,06,E+08							
0,173	7,40431E+12	1,06,E+08							
0,174	7,42125E+12	1,06,E+08							
0,175	7,43803E+12	1,07,E+08							
0,176	7,45465E+12	1,07,E+08							
0,177	7,47111E+12	1,07,E+08							
0,178	7,48742E+12	1,07,E+08							
0,179	7,50358E+12	1,07,E+08							
0,18	7,51959E+12	1,07,E+08							
0,181	7,53544E+12	1,07,E+08							
0,182	7,55115E+12	1,07,E+08							
0,183	7,56671E+12	1,07,E+08							
0,184	7,58213E+12	1,08,E+08							
0,185	7,5974E+12	1,08,E+08							
0,186	7,61253E+12	1,08,E+08							
0,187	7,62751E+12	1,08,E+08							
0,188	7,64236E+12	1,08,E+08							
0,189	7,65706E+12	1,08,E+08							
0,19	7,67163E+12	1,08,E+08							
0,191	7,68607E+12	1,08,E+08							
0,192	7,70036E+12	1,08,E+08							
0,193	7,71453E+12	1,09,E+08							
0,194	7,72856E+12	1,09,E+08							
0,195	7,74246E+12	1,09,E+08							
0,196	7,75622E+12	1,09,E+08							
0,197	7,76986E+12	1,09,E+08							
0,198	7,78338E+12	1,09,E+08							
0,199	7,79676E+12	1,09,E+08							
0,2	7,81002E+12	1,09,E+08							
